Name,Position,Home _Nation,Home_Club,National_Caps,Lions_Caps,NZ_Barbarians,Blues,Crusaders,Highlanders,Maori_All_Blacks,Chiefs,All_Blacks_1,Hurricanes,All_Blacks_2,All_Blacks_3,All_Blacks_Avg
Rory Best,Hooker,Ireland,Ulster,104,0,5.3,3.3,,,,,,,,,
Jamie George,Hooker,England,Saracens,17,0,5.7,,7.3,,,,,,,,
Ken Owens,Hooker,Wales,Scarlets,50,0,,6.5,6.0,,,,,,,,
Dan Cole,Prop,England,Leicester,74,3,,6.1,6.0,,,,,,,,
Tadhg Furlong,Prop,Ireland,Leinster,16,0,5.6,,7.0,,,,,,,,
Joe Marler,Prop,England,Harlequins,51,0,5.3,5.3,,,,,,,,,
Jack McGrath,Prop,Ireland,Leinster,41,0,,6.3,6.1,,,,,,,,
Kyle Sinckler,Prop,England,Harlequins,8,0,7.0,6.0,,,,,,,,,
Mako Vunipola,Prop,England,Saracens,42,3,6.0,,7.5,,,,,,,,
Iain Henderson,Second_row,Ireland,Ulster,32,0,3.7,4.6,,,,,,,,,
Maro Itoje,Second_row,England,Saracens,12,0,,6.9,6.6,,,,,,,,
Alun Wyn Jones,Second_row,Wales,Ospreys,110,6,5.0,,6.7,,,,,,,,
George Kruis,Second_row,England,Saracens,20,0,6.0,,7.0,,,,,,,,
Courtney Lawes,Second_row,England,Northampton,58,0,,6.8,,,,,,,,,
Taulupe Faletau,Back_row,Wales,Bath,66,1,8.1,,7.6,,,,,,,,
James Haskell,Back_row,England,Wasps,75,0,,5.5,,,,,,,,,
Ross Moriarty,Back_row,Wales,Gloucester,17,0,6.9,,,,,,,,,,
Sean O'Brien,Back_row,Ireland,Leinster,49,2,,,7.2,,,,,,,,
Peter O'Mahony,Back_row,Ireland,Munster,40,0,,5.4,7.1,,,,,,,,
CJ Stander,Back_row,Ireland,Munster,15,0,,6.5,6.8,,,,,,,,
Justin Tipuric,Back_row,Wales,Ospreys,51,1,6.2,6.1,,,,,,,,,
Sam Warburton (c),Back_row,Wales,Cardiff,73,2,5.2,,,,,,,,,,
Greig Laidlaw,Scrum_half,Scotland,Gloucester,58,0,5.1,5.3,,,,,,,,,
Conor Murray,Scrum_half,Ireland,Munster,58,2,,,8.8,,,,,,,,
Rhys Webb,Scrum_half,Wales,Ospreys,28,0,5.4,5.9,,,,,,,,,
Dan Biggar,Fly_half,Wales,Ospreys,56,0,,5.4,,,,,,,,,
Owen Farrell,Fly_half,England,Saracens,52,1,6.8,,8.5,,,,,,,,
Jonathan Sexton,Fly_half,Ireland,Leinster,66,3,3.8,4.6,7.4,,,,,,,,
Jonathan Davies,Centre,Wales,Scarlets,64,3,,,5.6,,,,,,,,
Robbie Henshaw,Centre,Ireland,Leinster,24,0,,5.5,,,,,,,,,
Jonathan Joseph,Centre,England,Bath,33,0,5.8,,,,,,,,,,
Jared Payne,Centre,Ireland,Ulster,20,0,,5.3,,,,,,,,,
Ben Te'o,Centre,England,Worcester,8,0,7.2,,6.8,,,,,,,,
Elliot Daly,Centre,England,Wasps,13,0,,5.7,,,,,,,,,
George North,Wing,Wales,Northampton,69,3,,,6.8,,,,,,,,
Jack Nowell,Wing,England,Exeter,23,0,,3.9,,,,,,,,,
Tommy Seymour,Wing,Scotland,Glasgow,36,0,5.6,,,,,,,,,,
Anthony Watson,Wing,England,Bath,26,0,6.7,,7.7,,,,,,,,
Leigh Halfpenny,Full_back,Wales,Toulon,71,3,,5.4,,,,,,,,,
Stuart Hogg,Full_back,Scotland,Glasgow,53,0,4.7,,5.7,,,,,,,,
Liam Williams,Full_back,Wales,Scarlets,38,0,,3.4,6.4,,,,,,,,
