Name,Position,Home _Nation,Home_Club,National_Caps,Lions_Caps,NZ_Barbarians,Blues,Crusaders,Highlanders,Maori_All_Blacks,Chiefs,All_Blacks_1,Hurricanes,All_Blacks_2,All_Blacks_3,All_Blacks_Avg
Rory Best,Hooker,Ireland,Ulster,104,,5.3,3.3,,5.7,,,,,,,
Jamie George,Hooker,England,Saracens,17,,5.7,,7.3,,,,,,,,
Ken Owens,Hooker,Wales,Scarlets,50,,,6.5,6.0,5.4,,,,,,,
Dan Cole,Prop,England,Leicester Tigers,74,3,,6.1,6.0,4.6,,,,,,,
Tadhg Furlong,Prop,Ireland,Leinster,16,,5.6,,7.0,,,,,,,,
Joe Marler,Prop,England,Harlequins,51,,5.3,5.3,,5.3,,,,,,,
Jack McGrath,Prop,Ireland,Leinster,41,,,6.3,6.1,5.3,,,,,,,
Kyle Sinckler,Prop,England,Harlequins,8,,7.0,6.0,,6.8,,,,,,,
Mako Vunipola,Prop,England,Saracens,42,3,6.0,,7.5,,,,,,,,
Iain Henderson,Second_row,Ireland,Ulster,32,,3.7,4.6,,6.4,,,,,,,
Maro Itoje,Second_row,England,Saracens,12,,,6.9,6.6,,,,,,,,
Alun Wyn Jones,Second_row,Wales,Ospreys,110,6,5.0,,6.7,5.5,,,,,,,
George Kruis,Second_row,England,Saracens,20,,6.0,,7.0,,,,,,,,
Courtney Lawes,Second_row,England,Northampton Saints,58,,,6.8,,6.2,,,,,,,
Taulupe Faletau,Back_row,Wales,Bath,66,1,8.1,,7.6,,,,,,,,
James Haskell,Back_row,England,,,,,5.5,,4.8,,,,,,,
Ross Moriarty,Back_row,Wales,Gloucester,17,,6.9,,,,,,,,,,
Sean O'Brien,Back_row,Ireland,Leinster,49,2,,,7.2,,,,,,,,
Peter O'Mahony,Back_row,Ireland,Munster,40,,,5.4,7.1,,,,,,,,
CJ Stander,Back_row,Ireland,Munster,15,,,6.5,6.8,6.1,,,,,,,
Justin Tipuric,Back_row,Wales,Ospreys,51,1,6.2,6.1,,5.4,,,,,,,
Sam Warburton (c),Back_row,Wales,Cardiff Blues,73,2,5.2,,,5.9,,,,,,,
Greig Laidlaw,Scrum_half,Scotland,Gloucester,58,,5.1,5.3,,5.7,,,,,,,
Conor Murray,Scrum_half,Ireland,Munster,58,2,,,8.8,,,,,,,,
Rhys Webb,Scrum_half,Wales,Ospreys,28,,5.4,5.9,,6.9,,,,,,,
Dan Biggar,Fly_half,Wales,Ospreys,56,,,5.4,,6.8,,,,,,,
Owen Farrell,Fly_half,,,,,6.8,,8.5,5.3,,,,,,,
Jonathan Sexton,Fly_half,Ireland,Leinster,66,3,3.8,4.6,7.4,,,,,,,,
Jonathan Davies,Centre,Wales,Scarlets,64,3,,,5.6,,,,,,,,
Robbie Henshaw,Centre,Ireland,Leinster,24,,,5.5,,5.8,,,,,,,
Jonathan Joseph,Centre,England,Bath,33,,5.8,,,6.4,,,,,,,
Jared Payne,Centre,Ireland,Ulster,20,,,5.3,,5.2,,,,,,,
Ben Te'o,Centre,England,Worcester Warriors,8,,7.2,,6.8,,,,,,,,
Elliot Daly,Centre,England,Wasps,13,,,5.7,,6.0,,,,,,,
George North,Wing,Wales,Northampton Saints,69,3,,,6.8,,,,,,,,
Jack Nowell,Wing,England,Exeter Chiefs,23,,,3.9,,5.1,,,,,,,
Tommy Seymour,Wing,Scotland,Glasgow Warriors,36,,5.6,,,5.8,,,,,,,
Anthony Watson,Wing,England,Bath,26,,6.7,,7.7,,,,,,,,
Leigh Halfpenny,Full_back,Wales,Toulon,71,3,,5.4,,,,,,,,,
Stuart Hogg,Full_back,Scotland,Glasgow Warriors,53,,4.7,,5.7,,,,,,,,
Liam Williams,Full_back,Wales,Scarlets,38,,,3.4,6.4,,,,,,,,
Average,,,,,,5.8,5.5,6.9,5.8,,,,,,,
